customer.id;outfit.id;rentalPeriod.start;rentalPeriod.end
03448;outfit.5c081909537b42239e465d2d615c705f;2023-03-26;2023-04-25
02924;outfit.c34969dd8b334064aa90bfb60c8ec308;2023-03-27;2023-04-26
02924;outfit.aef4cc93eebf40ca8820790deb7a8323;2023-01-27;2023-02-26
01128;outfit.3de5df48a14b4a9aba6d8e41d11e9351;2021-11-16;2021-12-15
01128;outfit.0eaa358af14e469894062591bd42f38b;2021-10-11;2021-11-11
01128;outfit.03bdf90c39e1431685d49ce8309dd242;2021-10-11;2021-11-11
01128;outfit.c46affd5f8ee4749b1f8e7d4ff47f3ff;2021-10-11;2021-11-11
01128;outfit.900dd323358401b1;2022-02-22;2022-03-11
01128;outfit.0630ef7d996d4c489b4e54e85bd09e5a;2021-11-11;2021-12-15
01128;outfit.4b4c3f5f55c348f8a8723ac65502385f;2021-11-01;2021-11-18
02876;outfit.aca18f7f7df3a642;2020-06-17;2020-08-24
02876;outfit.793b193b39194ef19a052aac02bf6c2b;2020-06-17;2020-08-24
02876;outfit.90905e386df640ff96ea108db7afabfa;2020-06-17;2020-08-24
07312;outfit.4d75d4130c224ecb8b3b360ec8d8b42f;2022-02-01;2022-03-01
00782;outfit.98141f2ecfe84902a9745605518a6807;2023-09-11;2023-10-10
00782;outfit.ea5ebb0ee8bf42e78792db5afd2c0571;2023-09-11;2023-10-10
00782;outfit.1525381286364f699a7d3f50116350ae;2023-09-11;2023-10-10
07110;outfit.5fd5ecbb2dc246a4a1558c960b11bfbd;2023-10-29;2023-11-28
06310;outfit.0932e0590705482bb0886ba5d8b33b48;2022-06-07;2022-07-06
06310;outfit.bd37bc0ed1857fb5;2022-07-07;2022-08-06
06310;outfit.abf8682bf7784e73af89ebfd6d542df0;2022-06-07;2022-07-06
02695;outfit.978a2705fa024cc6986b47b035e78ff8;2021-12-02;2022-01-03
02695;outfit.75f72fc891604734a37a5ab96b006367;2021-12-02;2022-01-03
05015;outfit.24f7bb6f025640bb9f3d5df253dbefb5;2022-02-05;2022-03-04
05015;outfit.9a7f73d3e1ce45f1be00a3a63e24acf4;2022-02-05;2022-03-04
03000;outfit.8400c26ee9d435bb;2021-08-20;2021-08-23
04251;outfit.d628edcdb5d743e09c72d3482c5df99c;2020-11-25;2020-12-21
04251;outfit.52637867a06148be9e8e79cd5845df7f;2020-11-25;2020-12-21
03515;outfit.f7907f19e86a497fb6113c1e249240b2;2024-02-25;2024-03-24
01726;outfit.eec9d9b58e954724bf444f2b7d7b7fe0;2023-10-29;2023-12-28
00000;outfit.b77ec4404eef405aae1833e224314586;2023-11-24;2023-12-23
00948;outfit.7ec57ccb076a41baa585f03047511203;2024-01-03;2024-02-02
04314;outfit.73bd05d1d7124ebab40550ead4275a10;2024-01-13;2024-02-12
04314;outfit.53070c4bb4674ef69d20240897b8a306;2024-01-13;2024-03-12
04314;outfit.bbdd99b53f925ae3;2024-01-13;2024-02-12
05686;outfit.3c7fb52f06a2409eb3b9b1587c8f6619;2022-06-13;2022-07-12
05686;outfit.acda155f56ff5996;2022-06-13;2022-07-12
05409;outfit.bffe2df559b741ef979d81183e587b30;2023-04-28;2023-05-27
05409;outfit.e88bd8e4bc48417c875bec5d67954871;2023-04-28;2023-05-27
05409;outfit.9465e6daec2a4d8aa5f89d792f802823;2023-04-28;2023-05-27
06817;outfit.0c1255cabc974757a42c0ecbb297b886;2023-11-23;2023-12-22
02567;outfit.aef0ac6ac27d466bbdc00e8f63187902;2020-11-09;2021-01-07
02567;outfit.e468daca31424992af47ea5e561ab90f;2020-11-09;2021-01-07
03515;outfit.9cd6c1a82e884a77b55b6113de55fea7;2021-08-02;2021-08-30
03515;outfit.254e2fd341124a79bf0f20196ebd37e7;2021-08-02;2021-08-30
03515;outfit.229cc0c550f54fb3b3b937bab2abda35;2021-08-02;2021-08-30
01386;outfit.ccb923f78f3b4da994badd9234d56204;2024-01-05;2024-02-04
06656;outfit.ab807f73b03d461281444abe939dbf81;2024-03-12;2024-04-11
01590;outfit.a0a46d933783476c9109aafdeeeb550e;2021-07-21;2021-08-19
02735;outfit.d55b9a6bbdd644b29f7546835a417cc7;2024-03-28;2024-04-27
01886;outfit.713570ccf2364240b906d668908737ff;2021-06-09;2021-07-09
01886;outfit.b6f7358d6feb42ceaec950e6b66f4a34;2021-06-09;2021-07-09
05833;outfit.2327c16896b343989de61510ab6f3c40;2021-10-11;2021-11-04
05398;outfit.7f7c2fad41294d68bd47e3e294eaa986;2021-08-12;2021-09-13
05398;outfit.1b69c12425704149ba96e98b0cdd73e1;2021-08-12;2021-09-13
05013;outfit.d9b4dd2b19de48b78e6f7a7f32b8504d;2023-02-20;2023-03-19
00785;outfit.a843aef457de4a67a1750534d0b6e193;2024-02-07;2024-03-06
06319;outfit.a520a9aa8147d618;2022-07-05;2022-08-04
03320;outfit.d90f0d3a991f44c69d8598b77d7c26bb;2024-03-09;2024-04-08
06304;outfit.dfe6ef5e7bb84251b07e00281a935d5b;2023-12-25;2024-01-24
06304;outfit.07a8c71b89ea44369977b3c8bc9aa27a;2023-12-25;2024-01-24
06304;outfit.00b49177dbc8462c99d0e884204e108d;2023-08-25;2023-09-24
05144;outfit.7f0adf98aa9d4ea1841b811a981f23e4;2022-08-10;2022-09-09
05144;outfit.3eb7f3bf43b746f9bb7f165fda5f12ed;2022-07-10;2022-08-09
05144;outfit.00004b4d01ca4ab0a70cf073ba74fefa;2022-08-10;2022-09-09
05144;outfit.1990cbad6e4f4e2c8b94718f1504b0e9;2022-07-10;2022-08-09
00849;outfit.5e31629c14254528a6820a0f3c1dba00;2023-08-20;2023-09-19
00849;outfit.6f13dce85b474006ae43b8269e87235c;2023-09-20;2023-11-19
00568;outfit.3984754756394c3e95ade4b2080508c6;2021-04-13;2021-05-14
00568;outfit.fbda7f830faf4caf9b0a085054f22e54;2021-04-13;2021-05-14
00568;outfit.9d3b8dd5711d3657;2021-04-13;2021-05-14
00568;outfit.127cbdac62d948a1827499f13034becf;2021-04-13;2021-05-14
00568;outfit.acfd279b1bf64fba9320696e809ae5e8;2021-04-13;2021-05-14
01232;outfit.2ea36f84cb12427686eed685f97f2a8f;2024-02-29;2024-03-28
01780;outfit.78272e5994da4658ac56ede658533a78;2023-11-08;2023-12-07
01780;outfit.30f9798320c146518063798032daa45f;2024-02-08;2024-03-07
04789;outfit.8952c2290e614e02b11f1143983b4da3;2023-03-25;2023-04-24
04789;outfit.0767fe82a9924d559f476c5d931d1f63;2023-03-25;2023-04-24
02465;outfit.b8db583eaf2f45fca07582a1c03a43a9;2024-02-19;2024-03-18
06085;outfit.40dda358a1eb41fd87fcd023e78c5f60;2021-08-31;2021-09-30
06085;outfit.b078fee881f14fb283ae9a3e339fa0c7;2021-10-19;2021-10-25
06085;outfit.dc7abe1bb20f423a8356cb4d089c56ff;2021-11-03;2021-12-03
06085;outfit.461e2e6f71e447b0afb86f70ac4b6ec1;2021-12-03;2022-01-03
06085;outfit.0ff0d877678e4755b088d1c5d09bee11;2021-08-31;2021-09-30
06085;outfit.a1c343a6ab39449597376de1dd75173b;2021-10-18;2021-10-25
00640;outfit.1dcf89de27284ebe9851d5fcd42e9fa1;2022-02-21;2022-03-21
00640;outfit.dfb35f6217ec4d9a8c6b50fde240c032;2022-01-21;2022-02-21
00640;outfit.fd816aa2311d45c78fd0ab2d663a177a;2022-03-21;2022-04-21
00640;outfit.59a9e94155b847089b3223fffd4aa4c7;2022-02-21;2022-03-21
00640;outfit.b06180c7031b4787905b9c1c1a9222f3;2022-01-21;2022-02-21
02911;outfit.6f7a8ff014ed4fd09c2a6ada3df033f1;2022-07-05;2022-08-04
04116;outfit.e07d8c1f713a47a599ce802228c6c63a;2023-09-05;2023-10-04
05891;outfit.2077691ebbdb483dba9ece92f59f285e;2021-10-04;2021-11-04
05891;outfit.3e7876ec6ddf41e996b7d6a7dd5b7152;2021-10-04;2021-11-04
02362;outfit.58ab09f53417419b89b4afd57c42b4f5;2023-06-26;2023-08-25
03125;outfit.9fbf3cdd79af487e91fe93261ebe67a8;2021-02-12;2021-03-12
06051;outfit.90d963d68d78d0a3;2023-08-02;2023-09-01
06051;outfit.bf1946048ff549b9a71370519f896538;2023-09-02;2023-10-01
06051;outfit.8c9a8f923538400cbd4326ab15d62388;2023-09-02;2023-10-01
